"Model","Correlation","Standard Deviation","Gains","Total Time","Training Time (1,000 Rows)","Scoring Time (1,000 Rows)"
"Generalized Linear Model",0.6000041768050762,0.029888315839810595,,20655.0,179.17094895512162,66.78082191780823
"Deep Learning",0.6093801582500845,0.024257614472296712,,15000.0,1130.5241521068858,36.81506849315068
"Decision Tree",0.5954137104313604,0.10287484802098254,,5464.0,9.249743062692703,13.698630136986301
"Random Forest",0.5790482290155209,0.0605429879995975,,20307.0,60.63720452209661,55.65068493150685
"Gradient Boosted Trees",0.4972873728793076,0.054398638725898174,,104036.0,67.48886605001712,11.986301369863012
"Support Vector Machine",0.218596055366222,0.08183474201069853,,155656.0,2114.4227475162725,506.8493150684932
